Donor_id,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation,Made Donation in March 2007
619,2,50,12500,98,1
664,0,13,3250,28,1
441,1,16,4000,35,1
160,2,20,5000,45,1
358,1,24,6000,77,0
335,4,4,1000,4,1
47,2,7,1750,14,1
164,1,12,3000,35,0
736,5,46,11500,98,1
436,0,3,750,4,0
460,2,10,2500,28,1
285,1,13,3250,47,0
499,2,6,1500,15,1
356,2,5,1250,11,1
40,2,14,3500,48,1
191,2,15,3750,49,1
638,2,6,1500,15,1
345,2,3,750,4,1
463,2,3,750,4,1
372,4,11,2750,28,0
8,2,6,1500,16,1
539,2,6,1500,16,1
734,4,14,3500,40,0
573,4,6,1500,14,1
482,4,8,2000,21,1
330,1,14,3500,58,0
222,4,10,2500,28,1
175,4,10,2500,28,1
606,2,16,4000,64,0
340,2,8,2000,28,1
298,2,12,3000,47,1
459,4,6,1500,16,1
92,4,7,1750,22,1
446,2,13,3250,53,1
336,2,5,1250,16,0
403,2,5,1250,16,1
286,2,5,1250,16,0
665,4,20,5000,69,1
134,4,9,2250,28,1
646,2,9,2250,36,0
391,2,2,500,2,1
471,2,2,500,2,1
377,2,2,500,2,0
712,2,11,2750,46,1
721,2,11,2750,46,1
654,2,6,1500,22,0
332,4,5,1250,14,1
740,4,19,4750,69,1
612,4,8,2000,26,1
502,2,7,1750,28,1
479,3,6,1500,21,0
444,2,8,2000,35,1
132,4,5,1250,16,1
507,3,16,4000,74,0
718,2,4,1000,14,1
214,0,2,500,4,0
146,4,7,1750,25,1
607,1,9,2250,51,0
591,2,4,1000,16,1
144,2,4,1000,16,1
652,4,17,4250,71,1
45,2,2,500,4,0
395,2,2,500,4,1
369,2,2,500,4,1
490,2,4,1000,16,1
66,2,2,500,4,0
448,2,2,500,4,1
380,2,4,1000,16,1
328,2,4,1000,16,0
485,2,4,1000,16,1
630,2,6,1500,28,1
5,2,6,1500,28,0
546,4,2,500,4,1
54,4,2,500,4,0
445,2,7,1750,35,1
510,4,2,500,4,1
311,4,2,500,4,0
476,4,2,500,4,0
474,12,11,2750,23,1
527,3,17,4250,86,0
506,4,9,2250,38,1
